[Shortcuts],Name,Shortcut,"Yes=0,Maybe=1",Notes,,
add_new_file_layer=none,add_new_file_layer,none,,,,
add_new_fill_layer=none,add_new_fill_layer,none,,,,
add_new_filter_mask=none,add_new_filter_mask,none,,,,
add_new_group_layer=none,add_new_group_layer,none,,,,
add_new_paint_layer=Ins,add_new_paint_layer,Ins,,,,
add_new_selection_mask=none,add_new_selection_mask,none,,,,
add_new_shape_layer=Shift+Ins,add_new_shape_layer,Shift+Ins,,,,
add_new_transform_mask=none,add_new_transform_mask,none,,,,
add_new_transparency_mask=none,add_new_transparency_mask,none,,,,
add_scalar_keyframes=none,add_scalar_keyframes,none,,,,
auto_key=none,auto_key,none,,,,
borderselection=none,borderselection,none,,,,
brushslider1=Y,brushslider1,Y,2,,,
brushslider2=none,brushslider2,none,2,,,
brushslider3=none,brushslider3,none,,,,
brushslider4=N,brushslider4,N,,,,
buginfo=none,buginfo,none,,,,
calligraphy_decrease_angle=none,calligraphy_decrease_angle,none,,,,
calligraphy_decrease_width=none,calligraphy_decrease_width,none,,,,
calligraphy_increase_angle=none,calligraphy_increase_angle,none,,,,
calligraphy_increase_width=none,calligraphy_increase_width,none,,,,
canvassize=Ctrl+Alt+C,canvassize,Ctrl+Alt+C,,,,
chooseBackgroundColor=none,chooseBackgroundColor,none,,,,
chooseForegroundColor=none,chooseForegroundColor,none,,,,
clear=Del,clear,Del,,,,
clear_animation_cache=none,clear_animation_cache,none,,,,
clones_array=none,clones_array,none,,,,
colorrange=none,colorrange,none,,,,
command_bar_open=Ctrl+Return,command_bar_open,Ctrl+Return,,,,
composite_actions=none,composite_actions,none,,,,
convert-to-path=P,convert-to-path,P,,,,
convert_group_to_animated=none,convert_group_to_animated,none,,,,
convert_selection_to_shape=none,convert_selection_to_shape,none,,,,
convert_shapes_to_vector_selection=none,convert_shapes_to_vector_selection,none,,,,
convert_to_animated=none,convert_to_animated,none,,,,
convert_to_file_layer=none,convert_to_file_layer,none,,,,
