[Shortcuts],Name,Shortcut,"Yes=0,Maybe=1",Notes,,
select_all_layers=none,select_all_layers,none,,,,
select_invisible_layers=none,select_invisible_layers,none,,,,
select_layout=none,select_layout,none,,,,
select_locked_layers=none,select_locked_layers,none,,,,
select_unlocked_layers=none,select_unlocked_layers,none,,,,
select_visible_layers=none,select_visible_layers,none,,,,
selection_tool_mode_add=none,selection_tool_mode_add,none,,,,
selection_tool_mode_intersect=none,selection_tool_mode_intersect,none,,,,
selection_tool_mode_replace=none,selection_tool_mode_replace,none,,,,
selection_tool_mode_subtract=none,selection_tool_mode_subtract,none,,,,
selectionscale=none,selectionscale,none,,,,
selectopaque=none,selectopaque,none,,,,
selectopaque_add=none,selectopaque_add,none,,,,
selectopaque_intersect=none,selectopaque_intersect,none,,,,
selectopaque_subtract=none,selectopaque_subtract,none,,,,
separate=none,separate,none,,,,
set-copy-from=none,set-copy-from,none,,,,
set_end_time=none,set_end_time,none,,,,
set_no_brush_smoothing=1,set_no_brush_smoothing,1,2,,,
set_simple_brush_smoothing=Ctrl+1,set_simple_brush_smoothing,Ctrl+1,2,,,
set_stabilizer_brush_smoothing=2,set_stabilizer_brush_smoothing,2,2,,,
set_start_time=none,set_start_time,none,,,,
set_weighted_brush_smoothing=Ctrl+2,set_weighted_brush_smoothing,Ctrl+2,2,,,
settings_active_author=none,settings_active_author,none,2,,,
shearAllLayers=none,shearAllLayers,none,,,,
shearimage=none,shearimage,none,,,,
shearlayer=none,shearlayer,none,,,,
shift_brush_color_clockwise=none,shift_brush_color_clockwise,none,2,,,
shift_brush_color_counter_clockwise=none,shift_brush_color_counter_clockwise,none,2,,,
show-global-selection-mask=none,show-global-selection-mask,none,,,,
showStatusBar=none,showStatusBar,none,,,,
show_brush_editor=F5,show_brush_editor,F5,2,,,
show_brush_presets=F6,show_brush_presets,F6,2,,,
show_color_history=H,show_color_history,H,2,,,
show_color_selector=Shift+I,show_color_selector,Shift+I,2,,,
show_common_colors=U,show_common_colors,U,2,,,
show_minimal_shade_selector=Shift+N,show_minimal_shade_selector,Shift+N,2,,,
show_mypaint_shade_selector=Shift+M,show_mypaint_shade_selector,Shift+M,2,,,
show_snap_options_popup=Shift+S,show_snap_options_popup,Shift+S,2,,,
show_tool_options=none,show_tool_options,none,1,,,
shrinkselection=none,shrinkselection,none,,,,
smoothselection=none,smoothselection,none,,,,
softProof=Ctrl+Y,softProof,Ctrl+Y,,,,
spen_circle_ccw=F12,spen_circle_ccw,F12,,,,
spen_circle_cw=F11,spen_circle_cw,F11,,,,
spen_click=@,spen_click,@,,,,
spen_double_click=#,spen_double_click,#,,,,
spen_show_popup_palette=none,spen_show_popup_palette,none,,,,
spen_swipe_down=F8,spen_swipe_down,F8,,,,
spen_swipe_left=F9,spen_swipe_left,F9,,,,
spen_swipe_right=F10,spen_swipe_right,F10,,,,
spen_swipe_up=F7,spen_swipe_up,F7,,,,
split_alpha_into_mask=none,split_alpha_into_mask,none,,,,
split_alpha_save_merged=none,split_alpha_save_merged,none,,,,
split_alpha_write=none,split_alpha_write,none,,,,
stop_playback=none,stop_playback,none,,,,
stroke_selection=none,stroke_selection,none,,,,
stroke_shapes=none,stroke_shapes,none,,,,
svg_align_center=Ctrl+Alt+C,svg_align_center,Ctrl+Alt+C,,,,
svg_align_justified=Ctrl+Alt+R,svg_align_justified,Ctrl+Alt+R,,,,
svg_align_left=none,svg_align_left,none,,,,
svg_align_right=Ctrl+Alt+R,svg_align_right,Ctrl+Alt+R,,,,
svg_background_color=none,svg_background_color,none,,,,
svg_decrease_font_size=Ctrl+<,svg_decrease_font_size,Ctrl+<,,,,
svg_font=Ctrl+Alt+F,svg_font,Ctrl+Alt+F,,,,
svg_font_kerning=none,svg_font_kerning,none,,,,
svg_font_size=none,svg_font_size,none,,,,
svg_format_italic=Ctrl+I,svg_format_italic,Ctrl+I,,,,
svg_format_strike_through=none,svg_format_strike_through,none,,,,
svg_format_subscript=Ctrl+Shift+B,svg_format_subscript,Ctrl+Shift+B,,,,
svg_format_superscript=Ctrl+Shift+P,svg_format_superscript,Ctrl+Shift+P,,,,
svg_format_textcolor=none,svg_format_textcolor,none,,,,
svg_format_underline=Ctrl+U,svg_format_underline,Ctrl+U,,,,
svg_increase_font_size=Ctrl+>,svg_increase_font_size,Ctrl+>,,,,
svg_insert_special_character=Alt+Shift+C,svg_insert_special_character,Alt+Shift+C,,,,
svg_line_height=Ctrl+H,svg_line_height,Ctrl+H,,,,
svg_sample_color=none,svg_sample_color,none,,,,
svg_settings=none,svg_settings,none,,,,
svg_weight_black=none,svg_weight_black,none,,,,
svg_weight_bold=Ctrl+B,svg_weight_bold,Ctrl+B,,,,
svg_weight_demi=none,svg_weight_demi,none,,,,
svg_weight_light=Ctrl+L,svg_weight_light,Ctrl+L,,,,
svg_weight_normal=Ctrl+N,svg_weight_normal,Ctrl+N,,,,
switchToPreviouslyActiveNode=;,switchToPreviouslyActiveNode,;,,,,
switch_application_language=none,switch_application_language,none,,,,
switchto_snapshot=none,switchto_snapshot,none,,,,
sysinfo=none,sysinfo,none,,,,
tablet_debugger=Ctrl+Shift+T,tablet_debugger,Ctrl+Shift+T,,,,
toggle-selection-overlay-mode=none,toggle-selection-overlay-mode,none,,,,
toggle_assistant=Ctrl+Z,toggle_assistant,Ctrl+Z,2,,,
toggle_brush_outline=none,toggle_brush_outline,none,,,,
toggle_display_selection=Ctrl+H,toggle_display_selection,Ctrl+H,,,,
toggle_fg_bg=X,toggle_fg_bg,X,,,,
toggle_layer_alpha_lock=none,toggle_layer_alpha_lock,none,,,,
toggle_layer_inherit_alpha=none,toggle_layer_inherit_alpha,none,,,,
toggle_layer_lock=none,toggle_layer_lock,none,,,,
toggle_layer_soloing=none,toggle_layer_soloing,none,,,,
toggle_layer_visibility=none,toggle_layer_visibility,none,,,,
toggle_onion_skin=none,toggle_onion_skin,none,,,,
toggle_playback=none,toggle_playback,none,,,,
toggle_zoom_to_fit=Ctrl+Shift+Alt+0,toggle_zoom_to_fit,Ctrl+Shift+Alt+0,2,,,
trim_to_image=none,trim_to_image,none,,,,
undo_polygon_selection=none,undo_polygon_selection,none,,,,
update_composition=none,update_composition,none,,,,
update_playback_range=none,update_playback_range,none,,,,
view_detached_canvas=none,view_detached_canvas,none,,,,
view_grid=Ctrl+Shift+',view_grid,Ctrl+Shift+',,,,
view_lock_guides=none,view_lock_guides,none,,,,
view_newwindow=none,view_newwindow,none,,,,
view_pixel_grid=none,view_pixel_grid,none,,,,
view_ruler=none,view_ruler,none,2,,,
view_show_canvas_only=Tab,view_show_canvas_only,Tab,2,,,
view_show_guides=none,view_show_guides,none,,,,
view_snap_bounding_box=none,view_snap_bounding_box,none,,,,
view_snap_extension=none,view_snap_extension,none,,,,
view_snap_image_bounds=none,view_snap_image_bounds,none,,,,
view_snap_image_center=none,view_snap_image_center,none,,,,
view_snap_intersection=none,view_snap_intersection,none,,,,
view_snap_node=none,view_snap_node,none,,,,
view_snap_orthogonal=none,view_snap_orthogonal,none,,,,
view_snap_to_grid=Ctrl+Shift+;,view_snap_to_grid,Ctrl+Shift+;,,,,
view_snap_to_guides=none,view_snap_to_guides,none,,,,
view_snap_to_pixel=none,view_snap_to_pixel,none,,,,
view_toggle_assistant_previews=Ctrl+W,view_toggle_assistant_previews,Ctrl+W,2,,,
view_toggle_painting_assistants=Shift+W,view_toggle_painting_assistants,Shift+W,2,,,
view_toggle_reference_images=none,view_toggle_reference_images,none,2,,,
view_toggledockers=none,view_toggledockers,none,1,,,
view_toggledockertitlebars=none,view_toggledockertitlebars,none,1,,,
view_zoom_in=Ctrl++,view_zoom_in,Ctrl++,,,,
view_zoom_out=Ctrl+-,view_zoom_out,Ctrl+-,,,,
vmirror_action=none,vmirror_action,none,,,,
waveletdecompose=none,waveletdecompose,none,,,,
windows_cascade=none,windows_cascade,none,,,,
windows_next=none,windows_next,none,,,,
windows_previous=none,windows_previous,none,,,,
windows_tile=none,windows_tile,none,,,,
workspaces=N,workspaces,N,2,,,
wrap_around_mode=none,wrap_around_mode,none,,,,
zoom_to_100pct=Ctrl+0,zoom_to_100pct,Ctrl+0,2,,,
,#VALUE!,,,,,
